"player","points","cells","env_number","gempresent","round","tot_points","gem","cell","x","y"
2,41,19,2,0,8,354,0,18,2,2
2,54,19,2,0,8,354,0,18,2,2
2,73,19,2,0,8,354,0,18,2,2
2,-6,59,2,0,8,354,0,58,2,7
2,-39,52,2,0,8,354,0,51,3,6
2,-3,29,2,0,8,354,0,28,4,3
2,-6,22,2,0,8,354,0,21,5,2
2,-7,12,2,0,8,354,0,11,3,1
2,23,3,2,0,8,354,0,2,2,0
2,22,3,2,0,8,354,0,2,2,0
2,22,3,2,0,8,354,0,2,2,0
2,23,3,2,0,8,354,0,2,2,0
2,20,3,2,0,8,354,0,2,2,0
2,20,3,2,0,8,354,0,2,2,0
2,-21,34,4,1,9,5393,0,33,1,4
2,36,22,4,1,9,5393,0,21,5,2
2,4,45,4,1,9,5393,0,44,4,5
2,-23,28,4,1,9,5393,0,27,3,3
2,264,21,4,1,9,5393,1,20,4,2
2,256,21,4,1,9,5393,1,20,4,2
2,258,21,4,1,9,5393,1,20,4,2
2,245,21,4,1,9,5393,1,20,4,2
2,270,21,4,1,9,5393,1,20,4,2
2,251,21,4,1,9,5393,1,20,4,2
2,267,21,4,1,9,5393,1,20,4,2
2,259,21,4,1,9,5393,1,20,4,2
2,246,21,4,1,9,5393,1,20,4,2
2,268,21,4,1,9,5393,1,20,4,2
2,257,21,4,1,9,5393,1,20,4,2
2,265,21,4,1,9,5393,1,20,4,2
2,257,21,4,1,9,5393,1,20,4,2
2,248,21,4,1,9,5393,1,20,4,2
2,246,21,4,1,9,5393,1,20,4,2
2,269,21,4,1,9,5393,1,20,4,2
2,250,21,4,1,9,5393,1,20,4,2
2,262,21,4,1,9,5393,1,20,4,2
2,270,21,4,1,9,5393,1,20,4,2
2,246,21,4,1,9,5393,1,20,4,2
2,243,21,4,1,9,5393,1,20,4,2
2,5,61,1,0,10,168,0,60,4,7
2,-36,26,1,0,10,168,0,25,1,3
2,33,9,1,0,10,168,0,8,0,1
2,-34,24,1,0,10,168,0,23,7,2
